id,description,nb
"63","Bonjour,
J\'habite à PERSAN (95340),  je suis séparé  de la mère de mes 2 enfants  depuis  le mois  de Janvier 2011 (rupture PACS). Garde principale de la mère et  moi un  week end sur 2 et moitié  des vacances. (accord tacite sans  jugement)
J\'ai eu 2 enfants,un garçon âgé de 5 ans et une fille âgée de 6 ans et demie.
Depuis que j \'ai quitté mon ancien logement  au mois de Mai 2011 je verse la  somme de  400 euros à titre de pension que  j\'ai réduite à 380 euros  en 2012 car j\'effectue tous les trajets en voiture aller et retour pour récupérer mes enfants (50km aller-retour). Leur mère  touche également un supplément de traitement familial d\'un montant de 66 euros venant  de mon administration (Police Nationale).
Je  travaille en régime hebdomadaire et j\'ai refait ma vie en 2011 avec une  femme  qui a une fille du même  âge que ma  fille.(Nous sommes mariés depuis 2012 )
Jusqu\'à ce jour nous  avions fait les choses à l\'amiable  mais à présent  je constate que lorsque je lui évoque le  fait de  revoir l\'ensemble devant le juge ça  semble se  compliquer. (elle m\'évoque des  difficultés financières  lorsque  j\'explique que moi  aussi j\'ai des charges et  que la pension me semble à  revoir compte tenu de ce  que je perçois chaque  mois et de  son train de vie)
Je lui ai fait une demande officieuse pour qu\'on officialise le tout  devant le juge avec  la  garde actuelle :  garde principale de  la  maman et  moi un week  end sur 2 et  moitié de vacances  scolaires. Pension  de 380 euros revue car elle perçoit 66  euros  de supplément  de  traitement familial,(380-66 : 314  euros/mois)    Elle m\'a indiqué qu\'elle refusait  cette proposition.  Par conséquent je souhaite revoir l\'ensemble, pension d\'un côté ou de l\'autre                                 et demander la garde des enfants.                                   
Merci  pour  votre aide, A bientôt,  Mr BAIS.                                                         ","3"
"66","Construite en 2003 notre accès garage est impossible car la pente est trop abrupte le constructeur le reconnait quel recours ???","1"
"69","bois colombes chauffeur routier licenciement sans indemnites pour soi disant faute grave sans entreitien","1"
"71","bjr  j ai  eu  un  accident de la  circulation    le  àé sept 2012  avec  une  personne  qui est responsable de l accident  et  alcoolise  depuis  je  suis  hospitalise  les  assurances  credits  rechignent  a  prendre  en  chargent   les  mensualites  de  mes  credits  le  procureur  de  la  republique  n est  pas  presser de  statuer  sur  mon  dossier  et  l assurance  ne  m a  toujours  pas  rembourser  la  voiture
que  dois  je  faire  tout  seul  je  n obtient  rien
merci  de  venir  m aider
mr  PAOLO","2"
"75","Bonjour,
Nous sommes un jeune couple de trentenaire qui avions un rêve. Devenir propriétaires, d’une petite maison, dans le centre d’un petit village, mais sans cours commune ou autre lieu juridique avec nos voisins.
Après de nombreuses visites de maisons et plusieurs refus de notre part à cause de cours communes, ou d’aucun coup de cœurs….
Enfin, en septembre 2012, nous avons acheté une charmante petite maison dans un petit village de l’Essonne. Nous somme tombé amoureux de ce bien, après plusieurs visite avec notre agent immobilier et beaucoup de questions sur la possibilité de lieu avec le voisinage (par exemple les murs qui entour le jardin, la toiture ….). Notre agent immobilier nous a répondu qu’il y a un mur mitoyen et rien d’autre. Juridiquement rien et annoté sur le contrat d’acquisition de ce bien.
Mais après quelques mois de travail dans notre maison et quelques murs détruits. Le père de notre voisine est venu nous parler, pour nous apprendre qu’une partie de la chambre de son petit fils est au-dessus de notre couloir d’entrée et qu’il ne fallait pas casser ou faire d’ouverture au dessus de notre couloir ou par notre grenier. Nous avons été très étonnés de savoir qu’il existe une servitude de surplomb qui n’est pas annoté. Donc, nous avons voulu des explications par notre notaire qui c’est retourné vers le notaire des vendeurs par écris. Mais à ce jours, nous avons aucune réponse des deux notaires.
Nous aimons notre maison, mais aujourd’hui, nous avons l’impression d’avoir été volé sur le bien car depuis cette découvert, nous savons bien que la maison a perdu de sa valeur et nous comprenons mieux que les anciens propriétaires l’avaient acquis pour un montant de 181 000.00€ vers 2010 et que nous sans connaître cette servitude nous l’avons acquis pour 209 000.00 € + les frais d’agence  de 6 000.00 € qui nous a volontairement omis de nous informé pour conclure une vente.
Merci de nous transmettre vos devis.
Cordialement
","1"
"88","J HABITE A SEVRAN  RETRAITE- VENTE MAISON 280 000 EUROS
LE DELAI DE LA PROMESSE DE VENTE N A PAS ETE RESTECTE PAR MON ACHETEUR .PROMESSES SIGNE LE 08 NOVEMBRE 2012 DEVANT NOTAIRE
DELAIS POUR OBTENIR  DES PRETS JUSQU AU 03 JANVIER 2013
JE LUI AI LAISSE UN DELAI (VERBALE) CAR IL NA EU AUCUN RESULTAT
LE 23 FEVRIER ENFIN UN ACCORD DE PRINCIPE
LE 24 AVRIL REFUS DE LA BANQUE PAR COURRIER
J AI PERDU BEAUCOUP DE TEMPS EN ECOUTANT SES MENSONGES
MAINTENANT JE LUI RECLAME LES INDEMNITES FORFAITAIRE DE 5000 EUROS ECRIT SUR LA PROMESSE DE VENTE ET ENCAISSER PAR LE NOTAIRE. POUVEZ VOUS ME DIRE COMMENT CELA SE PASSE POUR RECUPERER CETTE SOMME
MERCI ","1"
"91","E TRAVAILLE COMME AUXILIAIRE DE VIE  MARIEE AVEC UN INFORMATION ET JE CHERCHE UN AVOCAT POUR DIVORCE","3"
"94","mon fils a signe une convention de service avec un club de foot au luxembourg suite a une blessure le club ne respecte pas les termes du contrat","1"
"97","Adresse : Étampes
Résident en France depuis : 03/2001

Mariage : 2001
Divorce : 2005

En concubinage depuis :2005 

Enfants : 1 garçon 7ans et 1 fille de 1an  

Vie professionnel  :chef d entreprise au Qatar- sans emploie en France 

Casier judiciaire : vierge ","1"
"98","Bonjour,  j\'habite à  Bois d\'arcy 78390 et je suis pompier. Je souhaite faire diminuer le montant de la pension alimentaire que je donne a mes deux enfants (250 chacun)et aussi le montant de la prestation compensatoire (250). Je ne m\'en sort plus financièrement,  j\'ai accumulé des crédits conso et j ai un autre enfant a charge,  de plus mon ex femme a augmenté son volume horaires de travail. Merci d\'avance.","1"
"104","Champigny sur Marne,
quelques jours avant signature de l\'acte authentique : découverte d\'éléments nouveaux par rapport à la signature du compromis de vente et problème de conformité.
Ne parvenant pas à trouver un terrain d\'entente avec les vendeurs, nous devons savoir quoi faire, surtout savoir si nous pouvons acheter ou non cette maison.

merci pour votre rapidité et votre réactivité.

bien cordialement","2"
"79","Bonjour madame monsieur

Je vous contacte car j\'ai des problèmes avec mon ancien logement. 
J\'ai déménage et le propriétaire de l\'appartement me récuse de m\'envoyer le état de lieux de sortie et souhaite nous faire payer des dégâts d\'un dégâts d\'eaux qu\'a été cause par un problème de bouchage de canalisation externe du immeuble. 
Nous avons eu aussi un autre dégâts des eaux que nous avons réparé a notre charge et ils n\'ont jamais voulue nous remboursée la réparation d\'une vanne de canalisation (prix de réparation de 700,00).
Dernièrement c\'est impossible de parler au téléphone avec eaux, ils ne me répondent pas aux mails. La dernier fois j\'ai appelé pour demandé la copie du état de lieux de sortie et le propriétaire a accroché avant que je finisse ma phrase. 

Je veux de l\'aide pour mieux comprendre ma situation légalement, car eux connaissement bien la loi et chaque fois on se fait avoir pour ne pas bien connaître nous droits. 

 ","1"
"103","lorsque les gendarmes m\'interpelle le 9/11/12 à 9h32 on me reproche une vitesse supérieure à la vitesse autorisée (90 km/h) au motif que la vitesse était limitée à 80 Km/h. j\'ai contesté en leur indiquant que le panneau situé à 50 m indiqué 90 Km/h de bien vouloir le vérifié contradictoirement. Il n\'y pas eu de contrôle de vitesse avec un  appareil. ils estiment qu\'en doublant le camion qui me précédait, ce qui faux puisque ce camion de matières dangereuses est limité à 70 Km/h techniquement. Devant ma résistance Ils regagné leur fourgon avec mes papiers puis pendant 10 mn ils ont feuilleté leur fascicule puis l\'un est revenu à mon véhicule avec son boitier électronique et il me verbalisait subitement pour un dépassement dangereux. J\'ai refusé de signer. A réception de l\'amende forfaitaire j\'ai adressé un courrier circonstancié en RAR demandant le classement sans suite ou la citation à comparaitre. Je reçois ce jour un courrier m\'informant que je serai cité a comparaitre par acte d\'huissier.","1"
"107","Je perçois une pension alimentaire depuis décembre. Je voudrais faire appel au service d\'un avocat pour revoir le montant de la pension (130€ par enfants) nous en avons deux: 5 ans et 2 ans et demi. Mes revenus à compter du 1er juin baisseront de 320€/mois. Je gagne 1600€ alloc comprises, je ne toucherai plus que 1200€ et quelques.
Je voudrais demander au juge de lui retirer son autorité parental. Au quotidien je suis bloquée car les administrations et les écoles ou crèches me demandent pour un rien sa signature et son autorisation.
De plus, il ne respecte pas son droit de visite ni le délai pour m\'avertir. Ils ne les prends jamais pendant les vacances.
Pour toutes ces raisons je souhaite revoir le juge.","1"
"108","bonjour,

Je veux changer d\'école mes enfants (problèmes de violences sur mon fils à l\'école), pour l\'instant j\'ai déscolarisé mon fils avec certificat obtenu de l\'éducation nationale, cependant, le responsable d\'établissement ne veut pas me donner de certificat de radiation sans me faire du chantage, elle veut en savoir plus sur l\'école où je compte inscrire mon fils, je refuse son chantage. A t\'elle le droit juridique, de refuser de m\'envoyer ce certificat ? Les responsables d\'établissement ont ils tous les droits sur les parents ? Quelles sont les limites ? Merci beaucoup","2"
"109","Je vis dans la pauvreté avec mes deux enfants. Nous vivons dans un studio dont le locataire a donné le congé, c\'est devenu un squat. Je suis au RSA, mais j\'ai un suivi pour une création d\'entreprise, le père de ma fille nous a laissés tous les trois car il est devenu handicapé et a refusé le mariage et s\'organise tous seul.Je suis fille unique. Mes parents ont représenté un cauchemard presque toute ma vie mais ils ont vendu 2 maisons dont une de plus d\'1 million d\'euros.et une qui avait été achetée  à ma naissance pour moi. Nous ne pouvons même pas leur demander 20 euros et sont sous tutelle et vivent dans une maison de retraite. Je ne suis pas une sale gosse, j\'aurais aimé avoir des parents compréhensifs à aimer, ils se sont montrés égoistes et violents car je ne représentais pas ce qu\'ils auraient voulu, c\'est tout. Ont-ils le droit de nous laisser ainsi ? J\'aimerais faire un recours pour mes enfants, c\'est trop injuste, mon fils est d\'accord, mais il est mineur. Une avocate m\'avait conseillé de prendre un detective privé pour faire une recherche de patrimoine, mais cela coûte 1200 euros. Je fais ce que je peux pour régler les problèmes et m\'en sortir mais ma vie est un cauchemard. Mes parents ont ils le droit de me laisser sans protection et dans la pauvreté ?","2"
"113","4 rue Léon Delagrange 75015 Paris
Assistante de Direction
Pb de voisinage avec un voisin-locataire fumant du cannabis. Conciliation faite auprès de l\'agence immobilière sans grande réaction de la part du copropriétaire. 2ème action - dépôt d\'une main courante au commissariat.","1"
"114","nous avons loué une maison dont le bail spécifié 100m2. or après calcul on avait 87m2 que les propriétaires contesté.
nous avons quitter cette maison en décembre 2010. les locataires suivants nous on fournis leur bail ou il est bien établi que le bail est de 87m2.
Quel recours avons nous car nous avons loué cette maison de décembre 2006 à décembre 2010.","1"
"115","Bonjour,

Jeune ingénieur en informatique, j\'ai fait ma demande de naturalisation , celle ci a été ajournée à 2 ans , j\'ai fait un recours au tribunal , et elle a été jugée irrecevable.
Je cherche un avocat pour défendre ma naturalisation française qui a été rejetée au Tribunal.

Merci.","1"
"116","Je suis a la recherche d\'un avocat spécialisé dans les travaux de rénovation.
Je suis actuellement en litige avec une entreprise pour des délais de travaux non respectés.","1"
"120","je vie a lyon et  je cherche un avocat spécialiste pour la nationalise français.car j\'ai saisir d\'un recours gracieux pour le refus de délivrance de la nationalité française que le service de la nationalité française a oppose concernant mon frère car suite a une erreur administratif faite par les autorité local de la mairie algérienne que l\'acte de naissance fournie par mon frère figure pas sur les registre de la commune de mostaganem et malgré que mon recours gracieux le garde de sceau de paris il ma confirmer ce refus pour les mêmes motifs.","1"
"137","Bonjour, 
Je suis convoquée au tribunal du 14EME PARIS, pour une éventuelle expulsion d\'un logement que j\'habite depuis 1981, (32 ans).
J\'ai 68 ANS, j\'avais pris du retard sur mon loyer, mais à ce jour je suis à jour.
Je souhaite être assistée d\'un avocat, car je ne connais pas l\'issue.
Je recherche un spécialiste de la défense des locataires.

Je vous remercie par avance
Bien cordialement
","3"
"139","Bjr, je suis une demandeuse d\' asile politique( pays d\' origine Rwanda) pour le moment je suis enceinte de 18 semaines environ et mon compagnon est belge d\' origine congolaise, je aimerais savoir à propos de ma situation au moment d\' accouchement, est- ce que la loi autorise mon compagnon de venir ici declare notre bébé en France ou il sera oblige de faire ça en Belgique vue qu\' il a la nationalité Belge? le bébé prendra quel nationalité belge ou française? sans oublier que moi je suis une demandeuse d\' asile pour le moment.Merci","2"
"118","Bonjour,

Suite à un problème de nuisance sonore et de troubles du voisinage avec mon locataire, les autres copropriétaires ont décidé lors de la dernière AG de m\'imputer des frais de réparations de portail, remplacement serrures... car selon leurs dires et déclarations, mon locataire et ses amis en sont les auteurs.
Aussi, en fin d\'année dernière, le conseil syndical a décidé de provoquer une assemblée spéciale dont les frais m\'ont également été imputé sur mon compte.
Je n\'ai reçu aucun courrier recommandé ni mise en demeure durant les 8 mois des troubles. Seuls des mails et lettre simple composent les échanges entre le syndic et les autres propriétaires. J\'ai entrepris avant l\'assemblée spéciale de m\'adresser à un huissier qui a mis mon locataire en demeure de cesser les troubles. Mon locataire est parti le 7 janvier alors que les fils de son compteur électrique ont été sectionnés.
Ai je un recours, lesquels sont ils et cela vaut il la peine de contester, les frais de réparation s\'élevant à 600 euros?
Merci","1"
"140","77000 Livry-sur-Seine. Retraité. Mon véhicule Fiat ducato a été réparé pour une courroie de distribution cassée chez un concessionnaire Fiat (fermé à ce jour) le 27/12/2010. Après avoir effectué 17 000KM j\'ai eu la même panne, courroie cassée. Le nouveau garage Fiat après avoir effectué la réparation le 20/03/2013,m\'a avisé que la première intervention avait été faites par des \""sagouins\"". Recommandé envoyé au service client de Fiat France comportant les deux factures pour demande de participation financière. Réponse reçue négative. Pourriez-vous m\'indiquer votre avis et conseil sur cette situation.  ","1"
"141","LIQUIDATION DE COMMUNAUTÉ","1"
"143","J\'ai une proposition de redressement fiscal sur mon IRPP de 20 000 euros avec des problématiques de dividendes de LMNP et investissement immobilier en girardin social et un dernier investissement Borloo où bien qu\'ayant fourni des pièces demandées l\'administration d\'Argenteuil me propose un RV où je peux me faire assister je suis à ce jour à la Garenne 92","2"
"144","j\'ai 1 appartement d\'une valeur de 250 000,00 euros et une maison située en guadeloupe du même montant total des biens environ 500 000,00euros.
J\'ai 3 enfts dont 2 m\'ont abandonné et renié, le dernier à 35 ans 3 enfts, j\'aimerais sur le capital lui donner plus que les 2 autres, que dois je faire?
peut être faire une SCI.
merci de votre réponse","2"
"145","c\'est un litige contre le syndic de la co-propiete et la copropiete . je deux lots.
Un lot avec 5 garages dans un terrain en pente en péril avec un long mur de souténement co_proprièté en péril, et un auitre long mur a recontruir, dont les autres co_propietaiores ne veulent pas voter pour les travaux. L\'autre lot avec un studio dont une co_propietaire a sa fenetre avec une vue directe dans mon studio, et c\'est ne pas tout  ","1"
"146","Bonjour,
Je suis en charge des prestations de conseil en stratégie de mobilité pour le cabinet de conseil d\'Orange Business Services. Dans le cadre de nos prestations, nous cherchons un avocat pour \""valider\"" certains de nos livrables. En particilier, les chartes utilisateur et/ou réglement intérieur que nous amendont dans le cadre de prestation visant à appréhender le dilemme du pro/perso en entreprise.
je suis à votre disposition pour toute information complémentaire
cdt,","2"
"147","A Epinay sur seine. Pour une adoption simple.","3"
"150","95620 PARMAIN
Acceptation facture travaux pour plus value sur residence secondaire","1"
"154","conflit de factures avec Sté chauffagiste","1"
"157","je travaille pour le centre d\'action social de la ville de paris depuis 1991, je travaille dans une epahd à bondy (93) géréé par cette administration.Je suis aide soignante et je subis le harcèlement moral ,diffamation etc...","1"
"158","Relation avec un ancien collègue marié.
J\'ai fini par contacter sa femme pour la prévenir de la situation car cet homme se jouait de moi... Pour réponse, il a déposé plainte contre moi pour harcèlement sexuel et moral...Une confrontation est prévue.
Ma question à ce stade : ai-je besoin d\'un avocat pour m\'accompagner ?
","1"
"160","plessis robinson 92350
JE SUIS V R P EXCLUSIF
RUPTURE CONVENTIONNELLE","2"
"164","J\'ai été victime d\'un accident de la route. Un véhicule tiers n\'a pas marqué le stop, a percuté mon véhicule et a ensuite pris la fuite. J\'ai ensuite percuté 2 véhicules à l\'arrêt. Mon assurance a pris en charge l\'intégralité des réparations matérielles. 
Suite à l\'accident, j\'ai eu des blessures (douleurs lombaires, cervicales et aux genoux) et les douleurs perdurent. 
Je souhaiterais l\'intervention d\'un avocat pour m\'assister dans mes démarches d\'indemnisation.
Je vous remercie par avance pour vos informations.
","1"
"170","Draveil , interimaire dans la restauration , j\'ai subi une tentative de meurtre par armes a feu","1"
"175","Bonjour. J ai  quelques soucis dans une copropriété constitué au total de 3 lots principaux= trois copropriétaires au total. Voilà ma question. Le deux copropriétaires un peu en mèche ont tenu une assemblée générale dans laquel les règles n ont pas été respectées. J envisage de contester devant le juge certaines décisions, voire anuller l A.G. et éventuellement demander un administrateur judiciaire pour stopper cette \""complotite\"" nuit à la copropriété et au bon voisinage. Dois le faire obligatoire par la l intermédiaire d un avocat? Est-ce obligatoire pour cette procédure? Si oui combien cela me coûterait? Et si je gagne, est-il possible de demander lle remboursement des frais au titre de l article 700 (du NCPC)","2"
"180","J ai besoin d un avocat pour regarder et me donner un conseil : 1) un contrat de prêt entre amis 2) un testament ultra-simple (pas besoin de notaire)","1"
"181","C est pour une demande d adoption plénière pour une enfant de 12 ans et pour laquelle une adoption simple a été acceptée par le TGI de paris en date du 14 septembre 2005. L enfant est de nationalité française par déclaration  du 27 mai 2007. Cette demande est faite par Mr & Mme XXX - 75019 PARIS, tous deux en retraite.","2"
"183","Fiscalité d une société étrangère dont un employé est déplacé en France ","2"
"186","droite en casation pour retraitre de rversion suite a un rejet","1"
"191","Le pere de mon fils a abndonner son fils depuis 3ans et aujourd hui il me convoque devant un juge.","1"
"193","bonjour            je suis recherche d un avocate ..spécialisée droits des etrangeres                                                                                                  merci","1"
"198","Bonjour,
 
 Par la loi DALO je suis reconnue prioritaire et devant être logée d urgence.
 Le courrier m informe, également, que si je n ai pas reçu d offre de logement je peux faire un recours devant le tribunal administratif.
 C est donc pour rédiger le recours que j ai besoins d aide.
 Merci de votre attention.
","2"
"199","Nous habitons Romainville 93230, Agent administratif et rédacteur chef dans la fonction publique, nous recherchons un avocat afin de pouvoir divorcer avec consentement mutuel.","3"
"200","je suis séparée du père de mes 3 enfants depuis 11 ans. Un jugement rendu en 2003 donne la résidence de la mère comme lieu d habitation pour les enfants et le condamne à verser 100€ par enfant pour la pension alimentaire. Monsieur ne m a jamais versé de pension en 11 années et il n a jamais pris les enfants trés souvent bien qu il avait un droit de visite et d hébergement classique. Aujourd hui Monsieur a saisi la justice pour demander la garde de mes trois enfants. La situation est conflictuelle. Il fait du chantage affectif aux enfants qui sont à ce jour complètement déstabilisés. Bien Cordialement. ","2"
"204","je n obtiens pas copie de l état des lieux de sortie effectué par un huissier à la demande de mon propriétaire, il me réclame 1700 € sans me rembourser mon dépôt de garantie et me menace de m assigner au tribunal","2"
"205","promoteur en liquidation  ","2"
"209","Particuliers, demeurant dans le 95, ingénieur. Redressement fiscale suite à un investissement Girardin, SEP SUNRA FLUIDE 100, 101, 102. realisé auprès du cabinet Diane et Gesdom. Année fiscale 2010. L Administration argue que la réduction d’impôt est invalide car le raccordement EDF et le consuel ont été réalisés après le 31 décembre 2010. Il semblerait que les demandes aient été faites avant mais elles auraient été complètés au mois de mars 2011, je n en sait pas plus (pas de document). Le report sur l année 2011 est impossible selon l’Administration fiscale car le montage a été fait avec une SEP, hors une loi votée le 29/12/2010, supprime la possibilité de défiscalisation pour les SEP à partir de 2011. Merci meilleures salutations","1"
"210","bonjour, mon problème est un peu complexe. je souhaite entrer e contacte avec un avocat qui puisse m aider dans mon problème immobilier. cdt","2"
"212","je cherche de tout urgence un ou une aoca spesialisé de droit de logement je sui locataire de pui 2009 suit au disifonctionement de chodier je la doublle facture 300£ DE FACTUR ET 350E DE LOYE IL REFUSE DE RAPLACE CE ELEMENT il ve me explise dans un moi merci de me contacte ","1"
"213","bonjour, Après plusieurs jours ou ma carte de crédit ne pas passe pas,je reçois un appel d un organisme qui me dit que ma banque refuse les virements qu ils m envoient???j appelle la banque et au bout de 15 min ils m apprennent que je suis décédée?? je suis choquée!! pas de gestes compensatoire rien!! sachant que en août 2011, ils m ont égarés 2 chèques,je veux les attaquer cette fois-ci,le préjudice est trop lourd,je ne peux pas nourrir mes 3 enfants je n ai plus un sous! merci","1"
"219","bonjour,je passe en jugement le 1er juillet a creteil pour defaut de permis de conduire qui c  est passé en mars 2013.Entre temps j ai repasser mon permis avec succès .J habite villejuif et je suis agent de securité , j aimerais avoir combien pourrais me coûter un avocat car j ai des moyen limité merci","1"
"220","80 AVENUE VICTOR CRESSON ISSY LES MOULINEAUX 92130 ELECTRICIEN . LICENCIMENT ABUSIF SANS CAUSE REEL","3"
"221","Bonjour je souhaiterais un devis pour une affaire immobilier en cassation ","1"
"222"," 75020 Paris Je suis en train de monter une entreprise de vente de protections pours telephones portables. Je compte travailler avec de nombreux artistes, qui me laisseront utilisées des oeuvres pour recouvrir les coques. J ai besoin de leurs établir des contrats afin de préserver leurs droits et m autoriser à les vendre. Combien couterai cette prestation et de quoi auriez vous besoin pour établir ces contrats ? Merci Karim","3"
"224","Bonjour,  Je suis en train de créer une société immobilière à partir du capital d une société existante (holding). J aimerais être accompagné dans les formalité de la création et optimisation des statuts de cette nouvelle société.  Cordialement. ","2"
"227","pour une regroupement familiale ","1"
"234","requete en exclusion du b2","3"
"236","je souhait prendre  rendez vous pour un divorce","3"
